is_auth,is_order,is_payment,z_latency,z_errors,z_warns,traffic_delta,anomaly_count,label
1,0,0,-0.47831608263284425,0.25945109234469166,0.3395206461000688,0.3031545854419579,0,0
0,0,1,-0.10661469381646044,-0.16258490358907388,-0.08569008287707075,-0.27722485132413144,0,0
0,0,1,0.871511556665929,-0.6619379988079305,-0.014023032088117227,-0.22272205113575172,0,0
1,0,0,-0.14063247264697554,0.39886023345630417,1.4797440155188963,0.11826990656388031,0,0
0,1,0,1.0197969199152705,1.663207874732647,2.291034001262182,0.11866415583521639,1,0
0,0,1,0.8757814384722322,-0.5104218249855111,0.3044317975023777,-0.5879010371639326,0,0
1,0,0,0.8169266059967872,0.18568414059498525,0.14217585880587974,-0.09033110867678663,0,0
0,0,1,-0.022447139671851246,0.6285611131094578,0.3718091447842307,-0.5289120466088202,0,0
0,1,0,1.8230779996940414,3.2340115466090413,4.546499283743927,1.7450240952929588,3,0
0,0,1,-0.7557073026832377,0.6498234878924102,0.11113393936467245,-0.12311499260589014,0,0
1,0,0,2.167836335384343,1.2075929690302796,0.9621701234845179,0.4545177529830887,2,1
1,0,0,1.4713391687120387,2.0952505590698043,-0.6197451040897444,0.9931415026251342,1,0
1,0,0,-0.6931253210139818,0.6212458086697105,0.6517662453129212,0.005700099318644929,0,0
0,0,1,-0.2524808300885441,0.47185564188561335,0.09391928914418675,-0.12806063821191685,0,0
0,0,1,4.601737997829766,6.237279979398042,5.385675305084419,-0.7798409728957798,2,1
0,1,0,3.8718621335497767,2.7106639527457994,2.5360671803331334,1.5385004022191802,1,0
0,1,0,0.5072841939452032,0.23052763608994467,0.20255672832123045,-0.07037614001254407,0,0
1,0,0,0.060099838431261376,-0.3011386346108095,0.11935714416699544,0.12121525704436151,0,0
0,0,1,1.7060403125782115,0.947887858963683,0.08122878470095851,0.4840916747304699,1,0
0,1,0,0.9726541580508177,1.002756113101982,2.477754099433527,0.3445828131566657,1,0
0,1,0,1.0999759701605143,0.47596651634338705,0.5955159735215234,-0.2728162364384217,0,0
1,0,0,1.9694856750402163,2.533318938066985,1.0094636748693118,0.16022136223833688,1,0
0,0,1,1.50731547659211,0.74412249221722,2.6490867326291063,-0.233724122005184,1,1
0,0,1,-0.24827730463536596,-0.061030758102837784,0.6067586086848349,-0.36925929493018655,1,0
1,0,0,0.21401341235101778,1.129243700972613,2.2598827942484236,0.9690937230663862,1,0
0,0,1,1.9941126764089159,1.8519495578860772,2.226288269498875,1.0084408595459833,1,0
1,0,0,2.9926196089158053,1.3316830446382513,0.8086965027973514,0.8939321651802978,2,0
0,1,0,0.8389841519515553,0.7341947612019509,0.41224312202822533,0.28216067548860285,0,0
0,0,1,-0.6589097397014076,-0.28589037474662926,0.6393367740954479,-0.07187835245814288,0,0
1,0,0,5.234422159061742,2.612518516182336,0.890392099227677,0.9723762751241533,3,0
1,0,0,-0.4496247486427786,0.3412362076215927,0.08826860733707456,0.2142001482276276,0,0
1,0,0,4.567885149488253,4.390756631014691,3.7298094228973926,-2.0603930572801055,4,1
0,0,1,0.4498656208911428,-0.522869389355994,0.286590462925591,0.11559521391865103,0,0
0,0,1,0.3407461029121999,-0.47148514891531157,0.37889368017414166,0.1682353579104703,0,0
1,0,0,0.39786450563432707,0.3435224720594141,2.5150352672086598,0.8082715705473253,2,1
0,0,1,1.306149429833469,0.10365318637031612,0.8654406639860428,0.29646078315123353,0,0
0,0,1,1.347434628339985,0.6990779281513912,3.2475341971640077,0.31525686573650535,1,1
1,0,0,0.7803821332621594,-0.7063579355948258,-0.03596593289471672,0.32668517909020983,0,0
0,1,0,-0.20071259648197776,0.4397988744673379,-0.16518331585856832,0.06493757687459245,0,0
0,0,1,1.8007608625277278,0.41695951115900565,-0.8125712933288036,0.055936294430828294,0,0
0,0,1,-0.2547645169028904,0.0426317792665505,0.4524936394902286,0.2597265582510364,0,0
0,1,0,-0.03246171781266932,-0.22666461628685594,1.0827271201405484,0.12149451328828666,0,0
1,0,0,1.7855093379088431,0.6162326302755734,-0.5596849829770068,-0.1452702218598754,0,0
1,0,0,2.943819428146228,3.429560864115204,1.6096042926328755,0.95237971515056,2,1
0,1,0,-1.0964731000903543,-0.5500964207967199,0.9715338259295418,0.39697914214537094,0,0
0,1,0,0.3409562316147909,1.2739984642251614,0.4024877543852626,0.2729214524879451,0,0
0,0,1,0.1582797319179142,0.1304483035585802,0.5235813483935219,0.03782844834720871,0,0
0,1,0,-0.13059357443993136,1.155658820808126,0.5434242563829854,0.021291724691923804,0,0
0,0,1,3.4162806807371675,4.81139739192858,6.327485700779999,-1.3251708240514775,2,1
1,0,0,1.877762835093721,2.0734136309003683,4.428016640770042,2.1620401979698967,3,1
1,0,0,1.6710049890779277,1.8277827517636367,4.120940407684893,1.4882962123467718,3,1
0,1,0,-0.16844190972684914,0.6809686588733873,0.9764298879196629,-0.13185536264228317,0,0
0,0,1,0.30850255635125773,0.5654670419870396,-0.0615940467935549,0.2847428963342995,1,0
1,0,0,0.11027167639802024,-0.20654734145418893,1.1561588199199853,0.31956812476407537,0,0
0,1,0,1.143446045245002,-0.49833023460676107,0.5853391647615556,0.20011683104093742,0,0
0,1,0,-0.18940260466434206,0.09559147687709618,-0.8450088743151398,0.5311294549700155,1,0
0,1,0,0.7296889390327971,0.778940394049994,-0.016651703451280087,0.06114681825824013,1,0
0,1,0,2.423483470727139,0.6658327885972755,1.3357725566955772,1.3160668197489027,1,1
1,0,0,2.1861276985616156,0.8880430290256011,1.9809837920973112,-0.10151761878268528,1,0
0,0,1,1.1897967581866402,0.4854315507320198,0.44634324190020264,0.026661901839523078,0,0
0,0,1,0.05975913435818242,0.32883822721441947,0.23482633225943955,0.29505129190753954,1,0
1,0,0,0.6315391714092952,0.12717528896928557,1.3378806487836017,0.12186800551497849,0,0
1,0,0,1.1402880838893787,1.0080438951219075,0.14453403218524494,0.2928927379443308,0,0
0,0,1,0.18959322922212762,-0.5775289777589662,0.7163002020089884,-0.5430393974988048,0,0
0,0,1,1.7047521795229374,5.043714688207953,5.857021265490182,-0.32063332599075256,2,1
1,0,0,4.890355619835358,6.714987938144444,6.050364430043628,-1.0926096107597238,4,1
0,0,1,0.24847221894566557,-0.04111059449360546,0.3477387622115917,-0.3292037605699975,0,0
1,0,0,4.330762189464889,4.9180845524559915,1.3216030980264,-1.6309056730652676,2,1
1,0,0,0.4815725162997858,0.25117414516582137,0.9581166614669481,0.09373754432938423,1,0
0,0,1,2.1869762917835596,0.5810518329550209,0.9471148266872143,1.4283934479801637,2,1
